[2024-11-16 20:55:04] Starting Symbols.py...
[2024-11-16 20:55:09] Output of Symbols.py:
Error fetching data for 16112024: 404 Client Error: Not Found for url: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_16112024.csv
Symbols saved to /home/nikunj/NseInsiderTrading/Symbols.csv for 15112024

[2024-11-16 20:55:09] Starting StkData.py...
[2024-11-16 21:58:49] Output of StkData.py:
       SYMBOL
0   20MICRONS
1  21STCENMGM
2      360ONE
3   3IINFOLTD
4     3MINDIA
Stock data for 20MICRONS: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for AVADHSUGAR: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AVALON: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for AVANTEL: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for AVANTIFEED: ('Animal Feed', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AVG: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for AVIANSH: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for AVL: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for AVONMORE: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for AVPINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AVROIND: ('Plastic Products - Consumer', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for AVTNPL: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AWFIS: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for AWHCL: ('Waste Management', 'Other Utilities', 'Utilities', 'Utilities')
Stock data for AWL: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AXISBANK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for AXISBNKETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISBPSETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISCADES: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for AXISCETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISGOLD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISHCETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISILVER: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISNIFTY: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXISTECETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AXITA: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for AXSENSEX: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for AYMSYNTEX: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for AZAD: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for BABAFP: ('Other Food Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BAFNAPH: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BAGFILMS: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for BAHETI: ('Aluminium Copper & Zinc Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BAIDFIN: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BAJAJ-AUTO: ('2/3 Wheelers', 'Automobiles', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BAJAJCON: ('Personal Care', 'Personal Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BAJAJELEC: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BAJAJFINSV: ('Holding Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BAJAJHCARE: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BAJAJHFL: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BAJAJHIND: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BAJAJHLDNG: ('Holding Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BAJEL: ('Integrated Power Utilities', 'Power', 'Utilities', 'Power')
Stock data for BAJFINANCE: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BALAJEE: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BALAJITELE: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for BALAMINES: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for BALAXI: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BALCO: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BALKRISHNA: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for BALKRISIND: ('Tyres & Rubber Products', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BALMLAWRIE: ('Diversified', 'Diversified', 'Diversified', 'Diversified')
Stock data for BALPHARMA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BALRAMCHIN: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BALUFORGE: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BANARBEADS: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BANARISUG: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BANCOINDIA: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BANDHANBNK: ('Private Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for BANG: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for BANKA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for BANKBARODA: ('Public Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for BANKBEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANKBETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANKETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANKETFADD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANKIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANKINDIA: ('Public Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for BANKNIFTY1: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANKPSU: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BANSALWIRE: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BANSWRAS: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for BARBEQUE: ('Restaurants', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for BASF: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for BASILIC: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for BASML: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for BATAINDIA: ('Footwear', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BAWEJA: ('Film Production Distribution & Exhibition', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for BAYERCROP: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for BBETF0432: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BBL: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for BBNPNBETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BBNPPGOLD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BBOX: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for BBTC: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BBTCL: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BCLIND: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BCONCEPTS: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for BDL: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for BEACON: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BEARDSELL: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BECTORFOOD: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BEDMUTHA: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BEL: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for BEML: ('Construction Vehicles', 'Agricultural Commercial & Construction Vehicles', 'Industrials', 'Capital Goods')
Stock data for BEPL: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for BERGEPAINT: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BESTAGRO: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for BETA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BEWLTD: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for BFINVEST: ('Holding Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BFSI: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BFUTILITIE: ('Road Assets - Toll Annuity Hybrid-Annuity', 'Transport Infrastructure', 'Services', 'Services')
Stock data for BGRENERGY: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for BHAGCHEM: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for BHAGERIA: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for BHAGYANGR: ('Copper', 'Non - Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for BHANDARI: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for BHARATFORG: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BHARATGEAR: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BHARATRAS: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for BHARATWIRE: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BHARTIARTL: ('Telecom - Cellular & Fixed line services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for BHARTIHEXA: ('Telecom - Cellular & Fixed line services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for BHEL: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for BHINVIT: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for BIGBLOC: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for BIKAJI: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BIKEWO: ('Auto Dealer', 'Automobiles', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BIL: ('Leather And Leather Products', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BINANIIND: ('Holding Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BIOCON: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BIOFILCHEM: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BIRET: ('Real Estate Investment Trusts (REITs)', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for BIRLACABLE: ('Telecom - Equipment & Accessories', 'Telecom - Equipment & Accessories', 'Telecommunication', 'Telecommunication')
Stock data for BIRLACORPN: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for BIRLAMONEY: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for BLAL: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BLBLIMITED: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BLISSGVS: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BLKASHYAP: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for BLS: ('Tour Travel Related Services', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for BLSE: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for BLUECHIP: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for BLUEDART: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for BLUEJET: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for BLUEPEBBLE: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for BLUESTARCO: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BMETRICS: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for BODALCHEM: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for BOMDYEING: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for BOROLTD: ('Glass - Consumer', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BORORENEW: ('Glass - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BOROSCI: ('Glass - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for BOSCHLTD: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for BOSS: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for BPCL: ('Refineries & Marketing', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for BPL: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for BRACEPORT: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for BRIGADE: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for BRITANNIA: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for BRNL: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for BROOKS: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
